avg_loss_pct,avg_win_pct,final_capital,hard_sl_pct,max_drawdown_pct,min_confidence,return_pct,risk_per_trade_pct,time_stop_minutes,trade_count,tsl_activation_pct,tsl_base_trail_pct,win_rate
3.719,12.414,143779.4,0.5,84.065,0.85,43.779,9,5,308,5.0,4.0,0.2857
3.769,9.597,78036.1,0.5,73.192,0.9,-21.964,9,5,236,5.0,4.0,0.3051
3.732,8.52,93545.3,0.5,64.716,0.95,-6.455,9,5,168,5.0,4.0,0.3274
4.1,9.811,211581.4,0.5,41.637,1.0,111.581,9,5,125,5.0,4.0,0.368
4.419,9.18,1612.2,0.5,98.458,0.6,-98.388,10,5,492,5.0,4.0,0.3069
4.346,8.781,358.5,0.5,99.657,0.65,-99.641,10,5,420,5.0,4.0,0.3143
4.562,9.318,2324.8,0.5,97.777,0.7,-97.675,10,5,343,5.0,4.0,0.3178
3.829,11.384,31108.1,0.5,95.656,0.75,-68.892,10,5,604,5.0,4.0,0.2748
3.783,11.617,61511.2,0.5,93.639,0.8,-38.489,10,5,485,5.0,4.0,0.2763
3.719,12.414,143779.4,0.5,84.065,0.85,43.779,10,5,308,5.0,4.0,0.2857
3.769,9.597,78036.1,0.5,73.192,0.9,-21.964,10,5,236,5.0,4.0,0.3051
3.732,8.52,93545.3,0.5,64.716,0.95,-6.455,10,5,168,5.0,4.0,0.3274
4.1,9.811,211581.4,0.5,41.637,1.0,111.581,10,5,125,5.0,4.0,0.368
4.386,9.098,1216.0,0.5,98.948,0.6,-98.784,1,5,485,5.0,4.5,0.299
4.313,8.408,1125.0,0.5,98.924,0.65,-98.875,1,5,416,5.0,4.5,0.3029
4.511,9.071,1118.0,0.5,98.931,0.7,-98.882,1,5,341,5.0,4.5,0.3109
3.803,11.524,18806.3,0.5,96.881,0.75,-81.194,1,5,599,5.0,4.5,0.2688
3.761,11.746,57162.8,0.5,93.654,0.8,-42.837,1,5,482,5.0,4.5,0.2718
3.677,12.492,130978.5,0.5,85.669,0.85,30.979,1,5,306,5.0,4.5,0.281
3.712,9.613,73611.4,0.5,76.028,0.9,-26.389,1,5,234,5.0,4.5,0.2991
3.701,8.47,76216.8,0.5,68.857,0.95,-23.783,1,5,168,5.0,4.5,0.3155
