hard_sl_pct,min_confidence,month,pnl,return_pct,risk_per_trade_pct,time_stop_minutes,trades,win_rate
7.0,1.0,2026-02,-6982.06,-13.964,6,40,57,0.4912
7.0,1.0,2026-03,-3387.12,-6.774,6,40,31,0.2903
7.0,0.8,2025-09,-39032.44,-78.065,7,40,134,0.5299
7.0,0.8,2025-10,-9513.0,-19.026,7,40,171,0.4854
7.0,0.85,2025-09,-22766.62,-45.533,7,40,105,0.5333
7.0,0.85,2025-10,-22154.56,-44.309,7,40,142,0.4859
7.0,0.85,2025-11,-2638.13,-5.276,7,40,112,0.4732
7.0,0.85,2025-12,-990.94,-1.982,7,40,27,0.4074
7.0,0.9,2025-09,-18441.94,-36.884,7,40,81,0.5185
7.0,0.9,2025-10,-26523.0,-53.046,7,40,113,0.4513
7.0,0.9,2025-11,-1110.38,-2.221,7,40,89,0.5169
7.0,0.9,2025-12,-511.0,-1.022,7,40,91,0.5165
7.0,0.9,2026-01,-1708.0,-3.416,7,40,96,0.4896
7.0,0.9,2026-02,-239.75,-0.479,7,40,15,0.5333
7.0,0.95,2025-09,4559.19,9.118,7,40,65,0.5385
7.0,0.95,2025-10,-38826.81,-77.654,7,40,84,0.4524
7.0,0.95,2025-11,-2156.0,-4.312,7,40,71,0.4789
7.0,0.95,2025-12,-1808.19,-3.616,7,40,70,0.5286
7.0,0.95,2026-01,-6506.06,-13.012,7,40,71,0.4789
7.0,0.95,2026-02,-3762.5,-7.525,7,40,41,0.4634
7.0,1.0,2025-09,-2602.25,-5.204,7,40,49,0.5306
7.0,1.0,2025-10,-39090.19,-78.18,7,40,62,0.4032
7.0,1.0,2025-11,-3218.25,-6.436,7,40,50,0.44
7.0,1.0,2025-12,439.69,0.879,7,40,49,0.5714
7.0,1.0,2026-01,1711.94,3.424,7,40,44,0.5455
7.0,1.0,2026-02,-4574.06,-9.148,7,40,57,0.4912
7.0,1.0,2026-03,-1266.56,-2.533,7,40,18,0.2222
7.0,0.8,2025-09,-39032.44,-78.065,8,40,134,0.5299
7.0,0.8,2025-10,-9513.0,-19.026,8,40,171,0.4854
